Idiom	WiktionaryURL	Pos	Neg	Neu	Inapprop.	Total	%Pos	%Neg	%Neu	Maj. Label	FilterOut(X)
hot to trot	https://en.wiktionary.org/wiki/hot_to_trot	6	0	4	0	10	0.600	0.000	0.400	positive	
hot under the collar	https://en.wiktionary.org/wiki/hot_under_the_collar	0	10	0	0	10	0.000	1.000	0.000	negative	
hot up	https://en.wiktionary.org/wiki/hot_up	0	0	10	0	10	0.000	0.000	1.000	neutral	
hot water	https://en.wiktionary.org/wiki/hot_water	0	10	0	0	10	0.000	1.000	0.000	negative	X
house of cards	https://en.wiktionary.org/wiki/house_of_cards	0	5	5	0	10	0.000	0.500	0.500	negative	
household name	https://en.wiktionary.org/wiki/household_name	2	0	8	0	10	0.200	0.000	0.800	neutral	
how are you	https://en.wiktionary.org/wiki/how_are_you	0	0	10	0	10	0.000	0.000	1.000	neutral	
how come	https://en.wiktionary.org/wiki/how_come	0	0	10	0	10	0.000	0.000	1.000	neutral	
how so	https://en.wiktionary.org/wiki/how_so	0	0	10	0	10	0.000	0.000	1.000	neutral	
hugs and kisses	https://en.wiktionary.org/wiki/hugs_and_kisses	6	0	4	0	10	0.600	0.000	0.400	positive	
humble pie	https://en.wiktionary.org/wiki/humble_pie	4	2	4	0	10	0.400	0.200	0.400	positive	
hunker down	https://en.wiktionary.org/wiki/hunker_down	1	0	9	0	10	0.100	0.000	0.900	neutral	
hurt someone's feelings	https://en.wiktionary.org/wiki/hurt_someone's_feelings	0	10	0	0	10	0.000	1.000	0.000	negative	
husband and wife	https://en.wiktionary.org/wiki/husband_and_wife	0	0	10	0	10	0.000	0.000	1.000	neutral	
hustle and bustle	https://en.wiktionary.org/wiki/hustle_and_bustle	1	0	9	0	10	0.100	0.000	0.900	neutral	
ice cool	https://en.wiktionary.org/wiki/ice_cool	5	0	5	0	10	0.500	0.000	0.500	positive	
ice cube	https://en.wiktionary.org/wiki/ice_cube	0	0	10	0	10	0.000	0.000	1.000	neutral	
ice queen	https://en.wiktionary.org/wiki/ice_queen	0	7	3	0	10	0.000	0.700	0.300	negative	
idiot box	https://en.wiktionary.org/wiki/idiot_box	0	6	4	0	10	0.000	0.600	0.400	negative	
if I do say so myself	https://en.wiktionary.org/wiki/if_I_do_say_so_myself	2	0	8	0	10	0.200	0.000	0.800	neutral	
if I'm honest	https://en.wiktionary.org/wiki/if_I'm_honest	5	0	5	0	10	0.500	0.000	0.500	positive	
if need be	https://en.wiktionary.org/wiki/if_need_be	1	0	9	0	10	0.100	0.000	0.900	neutral	
if needs be	https://en.wiktionary.org/wiki/if_needs_be	0	0	10	0	10	0.000	0.000	1.000	neutral	
if nothing else	https://en.wiktionary.org/wiki/if_nothing_else	0	0	10	0	10	0.000	0.000	1.000	neutral	
if only	https://en.wiktionary.org/wiki/if_only	0	3	7	0	10	0.000	0.300	0.700	neutral	
ifs, ands, or buts	https://en.wiktionary.org/wiki/ifs,_ands,_or_buts	0	1	9	0	10	0.000	0.100	0.900	neutral	
ill health	https://en.wiktionary.org/wiki/ill_health	0	10	0	0	10	0.000	1.000	0.000	negative	
in Dutch	https://en.wiktionary.org/wiki/in_Dutch	0	6	4	0	10	0.000	0.600	0.400	negative	
in a bind	https://en.wiktionary.org/wiki/in_a_bind	1	7	2	0	10	0.100	0.700	0.200	negative	
in a canter	https://en.wiktionary.org/wiki/in_a_canter	4	0	6	0	10	0.400	0.000	0.600	neutral	
in a flash	https://en.wiktionary.org/wiki/in_a_flash	3	0	7	0	10	0.300	0.000	0.700	neutral	
in a heartbeat	https://en.wiktionary.org/wiki/in_a_heartbeat	1	0	9	0	10	0.100	0.000	0.900	neutral	
in a league of one's own	https://en.wiktionary.org/wiki/in_a_league_of_one's_own	9	0	1	0	10	0.900	0.000	0.100	positive	
in a nutshell	https://en.wiktionary.org/wiki/in_a_nutshell	0	0	10	0	10	0.000	0.000	1.000	neutral	
in a pinch	https://en.wiktionary.org/wiki/in_a_pinch	0	5	5	0	10	0.000	0.500	0.500	negative	
in a state	https://en.wiktionary.org/wiki/in_a_state	0	6	4	0	10	0.000	0.600	0.400	negative	X
in a walk	https://en.wiktionary.org/wiki/in_a_walk	6	0	4	0	10	0.600	0.000	0.400	positive	
in addition	https://en.wiktionary.org/wiki/in_addition	0	0	10	0	10	0.000	0.000	1.000	neutral	
in all honesty	https://en.wiktionary.org/wiki/in_all_honesty	5	0	5	0	10	0.500	0.000	0.500	positive	
in all one's glory	https://en.wiktionary.org/wiki/in_all_one's_glory	2	1	7	0	10	0.200	0.100	0.700	neutral	
in and out	https://en.wiktionary.org/wiki/in_and_out	0	0	9	1	10	0.000	0.000	0.900	neutral	
in any way, shape, or form	https://en.wiktionary.org/wiki/in_any_way,_shape,_or_form	0	0	10	0	10	0.000	0.000	1.000	neutral	
in at the deep end	https://en.wiktionary.org/wiki/in_at_the_deep_end	0	4	6	0	10	0.000	0.400	0.600	neutral	
in bed	https://en.wiktionary.org/wiki/in_bed	0	0	10	0	10	0.000	0.000	1.000	neutral	
in bed with	https://en.wiktionary.org/wiki/in_bed_with	2	2	6	0	10	0.200	0.200	0.600	neutral	
in black and white	https://en.wiktionary.org/wiki/in_black_and_white	1	1	8	0	10	0.100	0.100	0.800	neutral	
in business	https://en.wiktionary.org/wiki/in_business	5	0	5	0	10	0.500	0.000	0.500	positive	X
in character	https://en.wiktionary.org/wiki/in_character	0	0	10	0	10	0.000	0.000	1.000	neutral	
in chorus	https://en.wiktionary.org/wiki/in_chorus	1	0	9	0	10	0.100	0.000	0.900	neutral	
in cold blood	https://en.wiktionary.org/wiki/in_cold_blood	0	10	0	0	10	0.000	1.000	0.000	negative	
in concert	https://en.wiktionary.org/wiki/in_concert	0	0	10	0	10	0.000	0.000	1.000	neutral	
in contention	https://en.wiktionary.org/wiki/in_contention	0	1	9	0	10	0.000	0.100	0.900	neutral	
in control	https://en.wiktionary.org/wiki/in_control	3	0	7	0	10	0.300	0.000	0.700	neutral	
in detail	https://en.wiktionary.org/wiki/in_detail	0	0	10	0	10	0.000	0.000	1.000	neutral	
in effigy	https://en.wiktionary.org/wiki/in_effigy	0	0	10	0	10	0.000	0.000	1.000	neutral	
in evidence	https://en.wiktionary.org/wiki/in_evidence	0	0	10	0	10	0.000	0.000	1.000	neutral	
in fact	https://en.wiktionary.org/wiki/in_fact	0	0	10	0	10	0.000	0.000	1.000	neutral	
in fee	https://en.wiktionary.org/wiki/in_fee	0	0	10	0	10	0.000	0.000	1.000	neutral	
in focus	https://en.wiktionary.org/wiki/in_focus	4	0	6	0	10	0.400	0.000	0.600	neutral	
in for the kill	https://en.wiktionary.org/wiki/in_for_the_kill	0	9	1	0	10	0.000	0.900	0.100	negative	
in from the cold	https://en.wiktionary.org/wiki/in_from_the_cold	4	2	4	0	10	0.400	0.200	0.400	positive	
in full force	https://en.wiktionary.org/wiki/in_full_force	2	0	8	0	10	0.200	0.000	0.800	neutral	
in full gear	https://en.wiktionary.org/wiki/in_full_gear	4	0	6	0	10	0.400	0.000	0.600	neutral	
in full swing	https://en.wiktionary.org/wiki/in_full_swing	4	0	6	0	10	0.400	0.000	0.600	neutral	
in jest	https://en.wiktionary.org/wiki/in_jest	3	1	6	0	10	0.300	0.100	0.600	neutral	
in kind	https://en.wiktionary.org/wiki/in_kind	1	0	9	0	10	0.100	0.000	0.900	neutral	
in layman's terms	https://en.wiktionary.org/wiki/in_layman's_terms	1	0	9	0	10	0.100	0.000	0.900	neutral	
in light of	https://en.wiktionary.org/wiki/in_light_of	0	0	10	0	10	0.000	0.000	1.000	neutral	
in line	https://en.wiktionary.org/wiki/in_line	6	0	4	0	10	0.600	0.000	0.400	positive	X
in living memory	https://en.wiktionary.org/wiki/in_living_memory	0	0	10	0	10	0.000	0.000	1.000	neutral	
in no small measure	https://en.wiktionary.org/wiki/in_no_small_measure	4	0	6	0	10	0.400	0.000	0.600	neutral	
in no time	https://en.wiktionary.org/wiki/in_no_time	3	0	7	0	10	0.300	0.000	0.700	neutral	
in no time at all	https://en.wiktionary.org/wiki/in_no_time_at_all	0	0	10	0	10	0.000	0.000	1.000	neutral	
in no uncertain terms	https://en.wiktionary.org/wiki/in_no_uncertain_terms	0	1	9	0	10	0.000	0.100	0.900	neutral	
in no way	https://en.wiktionary.org/wiki/in_no_way	0	6	4	0	10	0.000	0.600	0.400	negative	X
in no way, shape, or form	https://en.wiktionary.org/wiki/in_no_way,_shape,_or_form	0	3	7	0	10	0.000	0.300	0.700	neutral	
in one's armour	https://en.wiktionary.org/wiki/in_one's_armour	2	2	6	0	10	0.200	0.200	0.600	neutral	
in one's book	https://en.wiktionary.org/wiki/in_one's_book	0	0	10	0	10	0.000	0.000	1.000	neutral	
in one's dreams	https://en.wiktionary.org/wiki/in_one's_dreams	0	0	10	0	10	0.000	0.000	1.000	neutral	
in one's element	https://en.wiktionary.org/wiki/in_one's_element	10	0	0	0	10	1.000	0.000	0.000	positive	
in one's face	https://en.wiktionary.org/wiki/in_one's_face	0	0	10	0	10	0.000	0.000	1.000	neutral	
in one's head	https://en.wiktionary.org/wiki/in_one's_head	0	0	10	0	10	0.000	0.000	1.000	neutral	
in one's pocket	https://en.wiktionary.org/wiki/in_one's_pocket	1	7	2	0	10	0.100	0.700	0.200	negative	X
in one's right mind	https://en.wiktionary.org/wiki/in_one's_right_mind	7	0	3	0	10	0.700	0.000	0.300	positive	
in order	https://en.wiktionary.org/wiki/in_order	5	0	5	0	10	0.500	0.000	0.500	positive	X
in other words	https://en.wiktionary.org/wiki/in_other_words	0	0	10	0	10	0.000	0.000	1.000	neutral	
in plain view	https://en.wiktionary.org/wiki/in_plain_view	1	0	9	0	10	0.100	0.000	0.900	neutral	
in recent memory	https://en.wiktionary.org/wiki/in_recent_memory	0	0	10	0	10	0.000	0.000	1.000	neutral	
in safe hands	https://en.wiktionary.org/wiki/in_safe_hands	9	0	1	0	10	0.900	0.000	0.100	positive	
in shape	https://en.wiktionary.org/wiki/in_shape	10	0	0	0	10	1.000	0.000	0.000	positive	
in someone's pocket	https://en.wiktionary.org/wiki/in_someone's_pocket	0	0	10	0	10	0.000	0.000	1.000	neutral	
in someone's shoes	https://en.wiktionary.org/wiki/in_someone's_shoes	0	0	10	0	10	0.000	0.000	1.000	neutral	
in someone's wheelhouse	https://en.wiktionary.org/wiki/in_someone's_wheelhouse	3	0	7	0	10	0.300	0.000	0.700	neutral	
in spades	https://en.wiktionary.org/wiki/in_spades	1	0	9	0	10	0.100	0.000	0.900	neutral	
in spite of	https://en.wiktionary.org/wiki/in_spite_of	0	1	9	0	10	0.000	0.100	0.900	neutral	
in state	https://en.wiktionary.org/wiki/in_state	3	0	7	0	10	0.300	0.000	0.700	neutral	
in stride	https://en.wiktionary.org/wiki/in_stride	3	1	6	0	10	0.300	0.100	0.600	neutral	
in the act	https://en.wiktionary.org/wiki/in_the_act	0	4	6	0	10	0.000	0.400	0.600	neutral	
in the bag	https://en.wiktionary.org/wiki/in_the_bag	5	0	5	0	10	0.500	0.000	0.500	positive	
in the black	https://en.wiktionary.org/wiki/in_the_black	10	0	0	0	10	1.000	0.000	0.000	positive	X
in the blink of an eye	https://en.wiktionary.org/wiki/in_the_blink_of_an_eye	0	0	10	0	10	0.000	0.000	1.000	neutral	
in the books	https://en.wiktionary.org/wiki/in_the_books	1	0	9	0	10	0.100	0.000	0.900	neutral	
in the buff	https://en.wiktionary.org/wiki/in_the_buff	0	2	7	1	10	0.000	0.200	0.700	neutral	
in the cards	https://en.wiktionary.org/wiki/in_the_cards	2	1	7	0	10	0.200	0.100	0.700	neutral	
in the clear	https://en.wiktionary.org/wiki/in_the_clear	9	1	0	0	10	0.900	0.100	0.000	positive	
in the crosshairs	https://en.wiktionary.org/wiki/in_the_crosshairs	0	7	3	0	10	0.000	0.700	0.300	negative	
in the dark	https://en.wiktionary.org/wiki/in_the_dark	0	5	5	0	10	0.000	0.500	0.500	negative	
in the dock	https://en.wiktionary.org/wiki/in_the_dock	0	10	0	0	10	0.000	1.000	0.000	negative	
in the doghouse	https://en.wiktionary.org/wiki/in_the_doghouse	0	10	0	0	10	0.000	1.000	0.000	negative	
in the drink	https://en.wiktionary.org/wiki/in_the_drink	0	2	8	0	10	0.000	0.200	0.800	neutral	
in the driver's seat	https://en.wiktionary.org/wiki/in_the_driver's_seat	9	0	1	0	10	0.900	0.000	0.100	positive	
in the driving seat	https://en.wiktionary.org/wiki/in_the_driving_seat	2	0	8	0	10	0.200	0.000	0.800	neutral	
in the face of	https://en.wiktionary.org/wiki/in_the_face_of	0	0	10	0	10	0.000	0.000	1.000	neutral	
in the fast lane	https://en.wiktionary.org/wiki/in_the_fast_lane	2	1	7	0	10	0.200	0.100	0.700	neutral	
in the final analysis	https://en.wiktionary.org/wiki/in_the_final_analysis	1	0	9	0	10	0.100	0.000	0.900	neutral	
in the first place	https://en.wiktionary.org/wiki/in_the_first_place	0	0	10	0	10	0.000	0.000	1.000	neutral	
in the game	https://en.wiktionary.org/wiki/in_the_game	4	0	6	0	10	0.400	0.000	0.600	neutral	
in the here and now	https://en.wiktionary.org/wiki/in_the_here_and_now	1	0	9	0	10	0.100	0.000	0.900	neutral	
in the hole	https://en.wiktionary.org/wiki/in_the_hole	0	10	0	0	10	0.000	1.000	0.000	negative	
in the hopper	https://en.wiktionary.org/wiki/in_the_hopper	3	1	6	0	10	0.300	0.100	0.600	neutral	
in the hospital	https://en.wiktionary.org/wiki/in_the_hospital	0	4	6	0	10	0.000	0.400	0.600	neutral	
in the hot seat	https://en.wiktionary.org/wiki/in_the_hot_seat	0	6	4	0	10	0.000	0.600	0.400	negative	
in the interest of justice	https://en.wiktionary.org/wiki/in_the_interest_of_justice	2	0	8	0	10	0.200	0.000	0.800	neutral	
in the lead	https://en.wiktionary.org/wiki/in_the_lead	10	0	0	0	10	1.000	0.000	0.000	positive	X
in the least	https://en.wiktionary.org/wiki/in_the_least	0	0	10	0	10	0.000	0.000	1.000	neutral	
in the limelight	https://en.wiktionary.org/wiki/in_the_limelight	6	0	4	0	10	0.600	0.000	0.400	positive	
in the line of duty	https://en.wiktionary.org/wiki/in_the_line_of_duty	2	0	8	0	10	0.200	0.000	0.800	neutral	
in the long run	https://en.wiktionary.org/wiki/in_the_long_run	0	0	10	0	10	0.000	0.000	1.000	neutral	
in the long term	https://en.wiktionary.org/wiki/in_the_long_term	0	0	10	0	10	0.000	0.000	1.000	neutral	
in the loop	https://en.wiktionary.org/wiki/in_the_loop	3	0	7	0	10	0.300	0.000	0.700	neutral	
in the making	https://en.wiktionary.org/wiki/in_the_making	4	0	6	0	10	0.400	0.000	0.600	neutral	
in the middle of	https://en.wiktionary.org/wiki/in_the_middle_of	0	0	10	0	10	0.000	0.000	1.000	neutral	
in the money	https://en.wiktionary.org/wiki/in_the_money	7	0	3	0	10	0.700	0.000	0.300	positive	
in the nick of time	https://en.wiktionary.org/wiki/in_the_nick_of_time	1	0	9	0	10	0.100	0.000	0.900	neutral	
in the offing	https://en.wiktionary.org/wiki/in_the_offing	2	0	8	0	10	0.200	0.000	0.800	neutral	
in the pink	https://en.wiktionary.org/wiki/in_the_pink	3	0	7	0	10	0.300	0.000	0.700	neutral	
in the post	https://en.wiktionary.org/wiki/in_the_post	0	0	10	0	10	0.000	0.000	1.000	neutral	
in the process of	https://en.wiktionary.org/wiki/in_the_process_of	0	0	10	0	10	0.000	0.000	1.000	neutral	
in the raw	https://en.wiktionary.org/wiki/in_the_raw	0	1	9	0	10	0.000	0.100	0.900	neutral	
in the red	https://en.wiktionary.org/wiki/in_the_red	0	10	0	0	10	0.000	1.000	0.000	negative	
in the right place at the right time	https://en.wiktionary.org/wiki/in_the_right_place_at_the_right_time	9	0	1	0	10	0.900	0.000	0.100	positive	
in the room	https://en.wiktionary.org/wiki/in_the_room	0	0	10	0	10	0.000	0.000	1.000	neutral	
in the running	https://en.wiktionary.org/wiki/in_the_running	4	0	6	0	10	0.400	0.000	0.600	neutral	
in the safe	https://en.wiktionary.org/wiki/in_the_safe	8	0	2	0	10	0.800	0.000	0.200	positive	
in the same boat	https://en.wiktionary.org/wiki/in_the_same_boat	0	2	8	0	10	0.000	0.200	0.800	neutral	
in the same breath	https://en.wiktionary.org/wiki/in_the_same_breath	0	0	10	0	10	0.000	0.000	1.000	neutral	
in the short run	https://en.wiktionary.org/wiki/in_the_short_run	0	0	10	0	10	0.000	0.000	1.000	neutral	
in the soup	https://en.wiktionary.org/wiki/in_the_soup	0	9	1	0	10	0.000	0.900	0.100	negative	
in the sticks	https://en.wiktionary.org/wiki/in_the_sticks	0	3	7	0	10	0.000	0.300	0.700	neutral	
in the swim	https://en.wiktionary.org/wiki/in_the_swim	3	0	7	0	10	0.300	0.000	0.700	neutral	
in the tank	https://en.wiktionary.org/wiki/in_the_tank	4	0	6	0	10	0.400	0.000	0.600	neutral	
in the thick of	https://en.wiktionary.org/wiki/in_the_thick_of	0	3	7	0	10	0.000	0.300	0.700	neutral	
in the thick of it	https://en.wiktionary.org/wiki/in_the_thick_of_it	0	7	3	0	10	0.000	0.700	0.300	negative	
in the toilet	https://en.wiktionary.org/wiki/in_the_toilet	0	8	2	0	10	0.000	0.800	0.200	negative	
in the wake of	https://en.wiktionary.org/wiki/in_the_wake_of	0	0	10	0	10	0.000	0.000	1.000	neutral	
in the way	https://en.wiktionary.org/wiki/in_the_way	0	8	2	0	10	0.000	0.800	0.200	negative	X
in the way of	https://en.wiktionary.org/wiki/in_the_way_of	1	1	8	0	10	0.100	0.100	0.800	neutral	
in the weeds	https://en.wiktionary.org/wiki/in_the_weeds	0	2	8	0	10	0.000	0.200	0.800	neutral	
in the wind	https://en.wiktionary.org/wiki/in_the_wind	0	2	8	0	10	0.000	0.200	0.800	neutral	
in the works	https://en.wiktionary.org/wiki/in_the_works	0	0	10	0	10	0.000	0.000	1.000	neutral	
in the world	https://en.wiktionary.org/wiki/in_the_world	0	0	9	1	10	0.000	0.000	0.900	neutral	
in the worst way	https://en.wiktionary.org/wiki/in_the_worst_way	0	9	1	0	10	0.000	0.900	0.100	negative	
in the wrong place at the wrong time	https://en.wiktionary.org/wiki/in_the_wrong_place_at_the_wrong_time	0	9	1	0	10	0.000	0.900	0.100	negative	
in the zone	https://en.wiktionary.org/wiki/in_the_zone	3	0	7	0	10	0.300	0.000	0.700	neutral	
in this day and age	https://en.wiktionary.org/wiki/in_this_day_and_age	0	0	10	0	10	0.000	0.000	1.000	neutral	
in too deep	https://en.wiktionary.org/wiki/in_too_deep	0	7	3	0	10	0.000	0.700	0.300	negative	
in touch	https://en.wiktionary.org/wiki/in_touch	1	0	9	0	10	0.100	0.000	0.900	neutral	
in vain	https://en.wiktionary.org/wiki/in_vain	0	9	1	0	10	0.000	0.900	0.100	negative	
in view of	https://en.wiktionary.org/wiki/in_view_of	0	0	10	0	10	0.000	0.000	1.000	neutral	
in with a chance	https://en.wiktionary.org/wiki/in_with_a_chance	5	0	5	0	10	0.500	0.000	0.500	positive	
in your dreams	https://en.wiktionary.org/wiki/in_your_dreams	0	6	4	0	10	0.000	0.600	0.400	negative	
in your face	https://en.wiktionary.org/wiki/in_your_face	0	6	4	0	10	0.000	0.600	0.400	negative	X
inch by inch	https://en.wiktionary.org/wiki/inch_by_inch	1	0	9	0	10	0.100	0.000	0.900	neutral	
inch-perfect	https://en.wiktionary.org/wiki/inch-perfect	8	0	2	0	10	0.800	0.000	0.200	positive	
inner circle	https://en.wiktionary.org/wiki/inner_circle	3	0	7	0	10	0.300	0.000	0.700	neutral	
inner core	https://en.wiktionary.org/wiki/inner_core	0	0	10	0	10	0.000	0.000	1.000	neutral	
inner strength	https://en.wiktionary.org/wiki/inner_strength	10	0	0	0	10	1.000	0.000	0.000	positive	
ins and outs	https://en.wiktionary.org/wiki/ins_and_outs	2	0	8	0	10	0.200	0.000	0.800	neutral	
inside baseball	https://en.wiktionary.org/wiki/inside_baseball	0	0	10	0	10	0.000	0.000	1.000	neutral	
inside job	https://en.wiktionary.org/wiki/inside_job	1	7	2	0	10	0.100	0.700	0.200	negative	
inside joke	https://en.wiktionary.org/wiki/inside_joke	0	0	10	0	10	0.000	0.000	1.000	neutral	
inside the box	https://en.wiktionary.org/wiki/inside_the_box	0	3	7	0	10	0.000	0.300	0.700	neutral	
inside track	https://en.wiktionary.org/wiki/inside_track	5	0	5	0	10	0.500	0.000	0.500	positive	
installed base	https://en.wiktionary.org/wiki/installed_base	0	0	10	0	10	0.000	0.000	1.000	neutral	
into detail	https://en.wiktionary.org/wiki/into_detail	0	0	10	0	10	0.000	0.000	1.000	neutral	
into thin air	https://en.wiktionary.org/wiki/into_thin_air	1	1	8	0	10	0.100	0.100	0.800	neutral	
iron curtain	https://en.wiktionary.org/wiki/iron_curtain	0	1	9	0	10	0.000	0.100	0.900	neutral	
iron out	https://en.wiktionary.org/wiki/iron_out	3	0	7	0	10	0.300	0.000	0.700	neutral	
irons in the fire	https://en.wiktionary.org/wiki/irons_in_the_fire	2	0	8	0	10	0.200	0.000	0.800	neutral	
it figures	https://en.wiktionary.org/wiki/it_figures	0	0	10	0	10	0.000	0.000	1.000	neutral	
it goes to show	https://en.wiktionary.org/wiki/it_goes_to_show	0	0	10	0	10	0.000	0.000	1.000	neutral	
it is what it is	https://en.wiktionary.org/wiki/it_is_what_it_is	0	1	9	0	10	0.000	0.100	0.900	neutral	
it takes two to tango	https://en.wiktionary.org/wiki/it_takes_two_to_tango	1	0	9	0	10	0.100	0.000	0.900	neutral	
it's about time	https://en.wiktionary.org/wiki/it's_about_time	0	6	4	0	10	0.000	0.600	0.400	negative	
it's all good	https://en.wiktionary.org/wiki/it's_all_good	8	0	2	0	10	0.800	0.000	0.200	positive	
itchy feet	https://en.wiktionary.org/wiki/itchy_feet	1	3	6	0	10	0.100	0.300	0.600	neutral	
itsy bitsy	https://en.wiktionary.org/wiki/itsy_bitsy	0	0	10	0	10	0.000	0.000	1.000	neutral	
itty bitty	https://en.wiktionary.org/wiki/itty_bitty	0	0	10	0	10	0.000	0.000	1.000	neutral	
ivory tower	https://en.wiktionary.org/wiki/ivory_tower	2	1	7	0	10	0.200	0.100	0.700	neutral	
jack in	https://en.wiktionary.org/wiki/jack_in	0	0	10	0	10	0.000	0.000	1.000	neutral	
jack of all trades	https://en.wiktionary.org/wiki/jack_of_all_trades	4	1	5	0	10	0.400	0.100	0.500	neutral	
jet fuel	https://en.wiktionary.org/wiki/jet_fuel	0	0	10	0	10	0.000	0.000	1.000	neutral	
jet set	https://en.wiktionary.org/wiki/jet_set	3	0	7	0	10	0.300	0.000	0.700	neutral	
jet-setter	https://en.wiktionary.org/wiki/jet-setter	8	0	2	0	10	0.800	0.000	0.200	positive	
jet-setting	https://en.wiktionary.org/wiki/jet-setting	3	0	7	0	10	0.300	0.000	0.700	neutral	
jog on	https://en.wiktionary.org/wiki/jog_on	1	3	6	0	10	0.100	0.300	0.600	neutral	
join forces	https://en.wiktionary.org/wiki/join_forces	6	0	4	0	10	0.600	0.000	0.400	positive	
join the club	https://en.wiktionary.org/wiki/join_the_club	2	1	7	0	10	0.200	0.100	0.700	neutral	
joined at the hip	https://en.wiktionary.org/wiki/joined_at_the_hip	4	0	6	0	10	0.400	0.000	0.600	neutral	
jot down	https://en.wiktionary.org/wiki/jot_down	0	0	10	0	10	0.000	0.000	1.000	neutral	
judge, jury and executioner	https://en.wiktionary.org/wiki/judge,_jury_and_executioner	0	5	5	0	10	0.000	0.500	0.500	negative	
juice up	https://en.wiktionary.org/wiki/juice_up	1	0	9	0	10	0.100	0.000	0.900	neutral	
jump at	https://en.wiktionary.org/wiki/jump_at	6	0	4	0	10	0.600	0.000	0.400	positive	
jump at the chance	https://en.wiktionary.org/wiki/jump_at_the_chance	6	0	4	0	10	0.600	0.000	0.400	positive	
jump for joy	https://en.wiktionary.org/wiki/jump_for_joy	10	0	0	0	10	1.000	0.000	0.000	positive	
jump on	https://en.wiktionary.org/wiki/jump_on	1	3	6	0	10	0.100	0.300	0.600	neutral	
jump on the bandwagon	https://en.wiktionary.org/wiki/jump_on_the_bandwagon	5	0	5	0	10	0.500	0.000	0.500	positive	
jump rope	https://en.wiktionary.org/wiki/jump_rope	1	0	9	0	10	0.100	0.000	0.900	neutral	
jump ship	https://en.wiktionary.org/wiki/jump_ship	0	4	6	0	10	0.000	0.400	0.600	neutral	
jump the gun	https://en.wiktionary.org/wiki/jump_the_gun	0	4	6	0	10	0.000	0.400	0.600	neutral	
jump the queue	https://en.wiktionary.org/wiki/jump_the_queue	1	3	6	0	10	0.100	0.300	0.600	neutral	
jump through hoops	https://en.wiktionary.org/wiki/jump_through_hoops	3	2	5	0	10	0.300	0.200	0.500	neutral	
jump to conclusions	https://en.wiktionary.org/wiki/jump_to_conclusions	0	4	6	0	10	0.000	0.400	0.600	neutral	
jumped-up	https://en.wiktionary.org/wiki/jumped-up	1	5	4	0	10	0.100	0.500	0.400	negative	
jury is out	https://en.wiktionary.org/wiki/jury_is_out	0	0	10	0	10	0.000	0.000	1.000	neutral	
just a minute	https://en.wiktionary.org/wiki/just_a_minute	0	0	10	0	10	0.000	0.000	1.000	neutral	
just a second	https://en.wiktionary.org/wiki/just_a_second	0	0	10	0	10	0.000	0.000	1.000	neutral	
just about	https://en.wiktionary.org/wiki/just_about	0	0	10	0	10	0.000	0.000	1.000	neutral	
just deserts	https://en.wiktionary.org/wiki/just_deserts	0	2	8	0	10	0.000	0.200	0.800	neutral	
just in case	https://en.wiktionary.org/wiki/just_in_case	0	0	10	0	10	0.000	0.000	1.000	neutral	
just like that	https://en.wiktionary.org/wiki/just_like_that	0	0	10	0	10	0.000	0.000	1.000	neutral	
just the same	https://en.wiktionary.org/wiki/just_the_same	0	0	10	0	10	0.000	0.000	1.000	neutral	
just what the doctor ordered	https://en.wiktionary.org/wiki/just_what_the_doctor_ordered	8	0	2	0	10	0.800	0.000	0.200	positive	
kangaroo court	https://en.wiktionary.org/wiki/kangaroo_court	0	9	1	0	10	0.000	0.900	0.100	negative	
keel over	https://en.wiktionary.org/wiki/keel_over	0	10	0	0	10	0.000	1.000	0.000	negative	
keep a close watch on	https://en.wiktionary.org/wiki/keep_a_close_watch_on	1	0	9	0	10	0.100	0.000	0.900	neutral	
keep a cool head	https://en.wiktionary.org/wiki/keep_a_cool_head	8	0	2	0	10	0.800	0.000	0.200	positive	
keep a lid on	https://en.wiktionary.org/wiki/keep_a_lid_on	0	0	10	0	10	0.000	0.000	1.000	neutral	
keep a low profile	https://en.wiktionary.org/wiki/keep_a_low_profile	0	0	10	0	10	0.000	0.000	1.000	neutral	
keep an eye on	https://en.wiktionary.org/wiki/keep_an_eye_on	0	0	10	0	10	0.000	0.000	1.000	neutral	
keep an eye open	https://en.wiktionary.org/wiki/keep_an_eye_open	1	2	7	0	10	0.100	0.200	0.700	neutral	
keep an eye out	https://en.wiktionary.org/wiki/keep_an_eye_out	0	0	10	0	10	0.000	0.000	1.000	neutral	
keep company	https://en.wiktionary.org/wiki/keep_company	1	0	9	0	10	0.100	0.000	0.900	neutral	
keep house	https://en.wiktionary.org/wiki/keep_house	2	0	8	0	10	0.200	0.000	0.800	neutral	
keep in	https://en.wiktionary.org/wiki/keep_in	0	1	9	0	10	0.000	0.100	0.900	neutral	
keep it real	https://en.wiktionary.org/wiki/keep_it_real	6	0	4	0	10	0.600	0.000	0.400	positive	
keep it up	https://en.wiktionary.org/wiki/keep_it_up	7	0	3	0	10	0.700	0.000	0.300	positive	
keep mum	https://en.wiktionary.org/wiki/keep_mum	1	0	9	0	10	0.100	0.000	0.900	neutral	
keep on	https://en.wiktionary.org/wiki/keep_on	1	0	9	0	10	0.100	0.000	0.900	neutral	
