idiom	patterns
let one go	"[[{""LEMMA"": {""REGEX"": ""(?i)^let$""}}, {""LEMMA"": {""REGEX"": ""(?i)^one$""}}, {""LEMMA"": {""REGEX"": ""(?i)^go$""}}]]"
let one's hair down	"[[{""LEMMA"": {""REGEX"": ""(?i)^let$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^hair$""}}, {""LEMMA"": {""REGEX"": ""(?i)^down$""}}]]"
let someone go	"[[{""LEMMA"": {""REGEX"": ""(?i)^let$""}}, {""POS"": ""PRON""}, {""LEMMA"": {""REGEX"": ""(?i)^go$""}}]]"
let someone have it	"[[{""LEMMA"": {""REGEX"": ""(?i)^let$""}}, {""POS"": ""PRON""}, {""LEMMA"": {""REGEX"": ""(?i)^have$""}}, {""LEMMA"": {""REGEX"": ""(?i)^it$""}}]]"
let the cat out of the bag	"[[{""LEMMA"": {""REGEX"": ""(?i)^let$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^cat$""}}, {""LEMMA"": {""REGEX"": ""(?i)^out$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^bag$""}}]]"
let the chips fall where they may	"[[{""LEMMA"": {""REGEX"": ""(?i)^let$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^chip$""}}, {""LEMMA"": {""REGEX"": ""(?i)^fall$""}}, {""LEMMA"": {""REGEX"": ""(?i)^where$""}}, {""LEMMA"": {""REGEX"": ""(?i)^they$""}}, {""LEMMA"": {""REGEX"": ""(?i)^may$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^let$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^dice$""}}, {""LEMMA"": {""REGEX"": ""(?i)^fall$""}}, {""LEMMA"": {""REGEX"": ""(?i)^where$""}}, {""LEMMA"": {""REGEX"": ""(?i)^they$""}}, {""LEMMA"": {""REGEX"": ""(?i)^may$""}}]]"
let them have it	"[[{""LEMMA"": {""REGEX"": ""(?i)^let$""}}, {""LEMMA"": {""REGEX"": ""(?i)^they$""}}, {""LEMMA"": {""REGEX"": ""(?i)^have$""}}, {""LEMMA"": {""REGEX"": ""(?i)^it$""}}]]"
let-down	"[[{""TEXT"": {""REGEX"": ""(?i)^let$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^down$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^letdown$""}}]]"
level-headed	"[[{""TEXT"": {""REGEX"": ""(?i)^level$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^headed$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^level$""}}, {""LEMMA"": {""REGEX"": ""(?i)^head$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^levelheade$""}}]]"
licence to print money	"[[{""LEMMA"": {""REGEX"": ""(?i)^licence$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^print$""}}, {""LEMMA"": {""REGEX"": ""(?i)^money$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^license$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^print$""}}, {""LEMMA"": {""REGEX"": ""(?i)^money$""}}]]"
lick one's wounds	"[[{""LEMMA"": {""REGEX"": ""(?i)^lick$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^wound$""}}]]"
life and limb	"[[{""LEMMA"": {""REGEX"": ""(?i)^life$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^limb$""}}]]"
life and soul of the party	"[[{""LEMMA"": {""REGEX"": ""(?i)^life$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^soul$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^party$""}}]]"
life is too short	"[[{""LEMMA"": {""REGEX"": ""(?i)^life$""}}, {""LEMMA"": {""REGEX"": ""(?i)^be$""}}, {""LEMMA"": {""REGEX"": ""(?i)^too$""}}, {""LEMMA"": {""REGEX"": ""(?i)^short$""}}]]"
life of the party	"[[{""LEMMA"": {""REGEX"": ""(?i)^life$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^party$""}}]]"
life-or-death	"[[{""TEXT"": {""REGEX"": ""(?i)^life$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^or$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^death$""}}], [{""TEXT"": {""REGEX"": ""(?i)^life$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^and$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^death$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^life$""}}, {""LEMMA"": {""REGEX"": ""(?i)^or$""}}, {""LEMMA"": {""REGEX"": ""(?i)^death$""}}]]"
lift a finger	"[[{""LEMMA"": {""REGEX"": ""(?i)^lift$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^finger$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^raise$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^finger$""}}]]"
light a fire under	"[[{""LEMMA"": {""REGEX"": ""(?i)^light$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^fire$""}}, {""LEMMA"": {""REGEX"": ""(?i)^under$""}}]]"
light at the end of the tunnel	"[[{""LEMMA"": {""REGEX"": ""(?i)^light$""}}, {""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^end$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^tunnel$""}}]]"
light on one's feet	"[[{""LEMMA"": {""REGEX"": ""(?i)^light$""}}, {""LEMMA"": {""REGEX"": ""(?i)^on$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^foot$""}}]]"
lightning fast	"[[{""LEMMA"": {""REGEX"": ""(?i)^lightning$""}}, {""LEMMA"": {""REGEX"": ""(?i)^fast$""}}], [{""TEXT"": {""REGEX"": ""(?i)^lightning$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^fast$""}}]]"
lightning in a bottle	"[[{""LEMMA"": {""REGEX"": ""(?i)^lightning$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^bottle$""}}]]"
lightning-quick	"[[{""TEXT"": {""REGEX"": ""(?i)^lightning$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^quick$""}}]]"
lily-livered	"[[{""TEXT"": {""REGEX"": ""(?i)^lily$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^livered$""}}]]"
line in the sand	"[[{""LEMMA"": {""REGEX"": ""(?i)^line$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^sand$""}}]]"
line one's pockets	"[[{""LEMMA"": {""REGEX"": ""(?i)^line$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^pocket$""}}]]"
live a lie	"[[{""LEMMA"": {""REGEX"": ""(?i)^live$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^lie$""}}]]"
live and learn	"[[{""LEMMA"": {""REGEX"": ""(?i)^live$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^learn$""}}]]"
live and let live	"[[{""LEMMA"": {""REGEX"": ""(?i)^live$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^let$""}}, {""LEMMA"": {""REGEX"": ""(?i)^live$""}}]]"
live it up	"[[{""LEMMA"": {""REGEX"": ""(?i)^live$""}}, {""LEMMA"": {""REGEX"": ""(?i)^it$""}}, {""LEMMA"": {""REGEX"": ""(?i)^up$""}}]]"
live on the edge	"[[{""LEMMA"": {""REGEX"": ""(?i)^live$""}}, {""LEMMA"": {""REGEX"": ""(?i)^on$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^edge$""}}]]"
live paycheck to paycheck	"[[{""LEMMA"": {""REGEX"": ""(?i)^live$""}}, {""LEMMA"": {""REGEX"": ""(?i)^paycheck$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^paycheck$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^live$""}}, {""LEMMA"": {""REGEX"": ""(?i)^paycheque$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^paycheque$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^live$""}}, {""LEMMA"": {""REGEX"": ""(?i)^from$""}}, {""LEMMA"": {""REGEX"": ""(?i)^paycheck$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^paycheck$""}}]]"
live the dream	"[[{""LEMMA"": {""REGEX"": ""(?i)^live$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^dream$""}}]]"
lock, stock and barrel	"[[{""LEMMA"": {""REGEX"": ""(?i)^lock$""}}, {""TEXT"": "","", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^stock$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^barrel$""}}]]"
long arm of the law	"[[{""LEMMA"": {""REGEX"": ""(?i)^long$""}}, {""LEMMA"": {""REGEX"": ""(?i)^arm$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^law$""}}]]"
long in the tooth	"[[{""LEMMA"": {""REGEX"": ""(?i)^long$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^tooth$""}}]]"
long story short	"[[{""LEMMA"": {""REGEX"": ""(?i)^long$""}}, {""LEMMA"": {""REGEX"": ""(?i)^story$""}}, {""LEMMA"": {""REGEX"": ""(?i)^short$""}}]]"
long way around	"[[{""LEMMA"": {""REGEX"": ""(?i)^long$""}}, {""LEMMA"": {""REGEX"": ""(?i)^way$""}}, {""LEMMA"": {""REGEX"": ""(?i)^around$""}}]]"
look forward to	"[[{""LEMMA"": {""REGEX"": ""(?i)^look$""}}, {""LEMMA"": {""REGEX"": ""(?i)^forward$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}]]"
look on the bright side	"[[{""LEMMA"": {""REGEX"": ""(?i)^look$""}}, {""LEMMA"": {""REGEX"": ""(?i)^on$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^bright$""}}, {""LEMMA"": {""REGEX"": ""(?i)^side$""}}]]"
look the other way	"[[{""LEMMA"": {""REGEX"": ""(?i)^look$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^other$""}}, {""LEMMA"": {""REGEX"": ""(?i)^way$""}}]]"
look the part	"[[{""LEMMA"": {""REGEX"": ""(?i)^look$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^part$""}}]]"
look up to	"[[{""LEMMA"": {""REGEX"": ""(?i)^look$""}}, {""LEMMA"": {""REGEX"": ""(?i)^up$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}]]"
look-in	"[[{""TEXT"": {""REGEX"": ""(?i)^look$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^in$""}}]]"
loosen the purse strings	"[[{""LEMMA"": {""REGEX"": ""(?i)^loosen$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^purse$""}}, {""LEMMA"": {""REGEX"": ""(?i)^string$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^loosen$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^pursestring$""}}], [{""TEXT"": {""REGEX"": ""(?i)^loosen$""}}, {""TEXT"": {""REGEX"": ""(?i)^the$""}}, {""TEXT"": {""REGEX"": ""(?i)^purse$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^strings$""}}]]"
lord it over	"[[{""LEMMA"": {""REGEX"": ""(?i)^lord$""}}, {""LEMMA"": {""REGEX"": ""(?i)^it$""}}, {""LEMMA"": {""REGEX"": ""(?i)^over$""}}]]"
lose one's cool	"[[{""LEMMA"": {""REGEX"": ""(?i)^lose$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^cool$""}}]]"
lose one's head	"[[{""LEMMA"": {""REGEX"": ""(?i)^lose$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^head$""}}]]"
lose one's mind	"[[{""LEMMA"": {""REGEX"": ""(?i)^lose$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^mind$""}}]]"
lose one's temper	"[[{""LEMMA"": {""REGEX"": ""(?i)^lose$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^temper$""}}]]"
lose one's way	"[[{""LEMMA"": {""REGEX"": ""(?i)^lose$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^way$""}}]]"
lose the plot	"[[{""LEMMA"": {""REGEX"": ""(?i)^lose$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^plot$""}}]]"
loss of face	"[[{""LEMMA"": {""REGEX"": ""(?i)^loss$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^face$""}}]]"
lost in translation	"[[{""LEMMA"": {""REGEX"": ""(?i)^lose$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""LEMMA"": {""REGEX"": ""(?i)^translation$""}}]]"
loud and clear	"[[{""LEMMA"": {""REGEX"": ""(?i)^loud$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^clear$""}}]]"
love at first sight	"[[{""LEMMA"": {""REGEX"": ""(?i)^love$""}}, {""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""LEMMA"": {""REGEX"": ""(?i)^first$""}}, {""LEMMA"": {""REGEX"": ""(?i)^sight$""}}]]"
love of one's life	"[[{""LEMMA"": {""REGEX"": ""(?i)^love$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^life$""}}]]"
low-down	"[[{""TEXT"": {""REGEX"": ""(?i)^low$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^down$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^lowdown$""}}]]"
low-hanging fruit	"[[{""TEXT"": {""REGEX"": ""(?i)^low$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^hanging$""}}, {""TEXT"": {""REGEX"": ""(?i)^fruit$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^low$""}}, {""LEMMA"": {""REGEX"": ""(?i)^hang$""}}, {""LEMMA"": {""REGEX"": ""(?i)^fruit$""}}]]"
luck of the draw	"[[{""LEMMA"": {""REGEX"": ""(?i)^luck$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^draw$""}}]]"
lump in one's throat	"[[{""LEMMA"": {""REGEX"": ""(?i)^lump$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^throat$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^lump$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^throat$""}}]]"
made for each other	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""LEMMA"": {""REGEX"": ""(?i)^for$""}}, {""LEMMA"": {""REGEX"": ""(?i)^each$""}}, {""LEMMA"": {""REGEX"": ""(?i)^other$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""LEMMA"": {""REGEX"": ""(?i)^for$""}}, {""LEMMA"": {""REGEX"": ""(?i)^one$""}}, {""LEMMA"": {""REGEX"": ""(?i)^another$""}}]]"
made in china	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""LEMMA"": {""REGEX"": ""(?i)^china$""}}]]"
made in japan	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""LEMMA"": {""REGEX"": ""(?i)^japan$""}}]]"
made of sterner stuff	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^sterner$""}}, {""LEMMA"": {""REGEX"": ""(?i)^stuff$""}}]]"
made of stone	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^stone$""}}]]"
mail it in	"[[{""LEMMA"": {""REGEX"": ""(?i)^mail$""}}, {""LEMMA"": {""REGEX"": ""(?i)^it$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}]]"
make a clean break	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^clean$""}}, {""LEMMA"": {""REGEX"": ""(?i)^break$""}}]]"
make a decision	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^decision$""}}]]"
make a difference	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^difference$""}}]]"
make a go of	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^go$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}]]"
make a killing	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^killing$""}}]]"
make a meal of	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^meal$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^meal$""}}, {""LEMMA"": {""REGEX"": ""(?i)^out$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}]]"
make a mockery of	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^mockery$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}]]"
make a move	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^move$""}}]]"
make a point	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^point$""}}]]"
make a splash	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^splash$""}}]]"
make an appearance	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""TEXT"": ""an"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^appearance$""}}]]"
make an example of	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""TEXT"": ""an"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^example$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}]]"
make ends meet	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""LEMMA"": {""REGEX"": ""(?i)^end$""}}, {""LEMMA"": {""REGEX"": ""(?i)^meet$""}}]]"
make fun of	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""LEMMA"": {""REGEX"": ""(?i)^fun$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}]]"
make good on	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""LEMMA"": {""REGEX"": ""(?i)^good$""}}, {""LEMMA"": {""REGEX"": ""(?i)^on$""}}]]"
make hay while the sun shines	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""LEMMA"": {""REGEX"": ""(?i)^hay$""}}, {""LEMMA"": {""REGEX"": ""(?i)^while$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^sun$""}}, {""LEMMA"": {""REGEX"": ""(?i)^shine$""}}]]"
make it rain	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""LEMMA"": {""REGEX"": ""(?i)^it$""}}, {""LEMMA"": {""REGEX"": ""(?i)^rain$""}}]]"
make it up to	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""LEMMA"": {""REGEX"": ""(?i)^it$""}}, {""LEMMA"": {""REGEX"": ""(?i)^up$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}]]"
make light of	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""LEMMA"": {""REGEX"": ""(?i)^light$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}]]"
make light work of	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""LEMMA"": {""REGEX"": ""(?i)^light$""}}, {""LEMMA"": {""REGEX"": ""(?i)^work$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}]]"
make matters worse	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""LEMMA"": {""REGEX"": ""(?i)^matter$""}}, {""LEMMA"": {""REGEX"": ""(?i)^bad$""}}]]"
make no bones about	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""LEMMA"": {""REGEX"": ""(?i)^no$""}}, {""LEMMA"": {""REGEX"": ""(?i)^bone$""}}, {""LEMMA"": {""REGEX"": ""(?i)^about$""}}]]"
make one's bed	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^bed$""}}]]"
make one's mark	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^mark$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^leave$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^mark$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^mark$""}}]]"
make one's way	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^way$""}}]]"
make quick work of	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""LEMMA"": {""REGEX"": ""(?i)^quick$""}}, {""LEMMA"": {""REGEX"": ""(?i)^work$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}]]"
make short work of	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""LEMMA"": {""REGEX"": ""(?i)^short$""}}, {""LEMMA"": {""REGEX"": ""(?i)^work$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}]]"
make someone's day	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^day$""}}]]"
make the cut	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^cut$""}}]]"
make the grade	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^grade$""}}]]"
make the most of	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^most$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}]]"
make up one's mind	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""LEMMA"": {""REGEX"": ""(?i)^up$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^mind$""}}]]"
make up the numbers	"[[{""LEMMA"": {""REGEX"": ""(?i)^make$""}}, {""LEMMA"": {""REGEX"": ""(?i)^up$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^number$""}}]]"
male-to-female	"[[{""TEXT"": {""REGEX"": ""(?i)^male$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^to$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^female$""}}]]"
man and boy	"[[{""LEMMA"": {""REGEX"": ""(?i)^man$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^boy$""}}]]"
